Season,Team,Lg,Salary
,,,
1984-85,Chicago Bulls,NBA,$550000
1985-86,Chicago Bulls,NBA,$630000
1986-87,Chicago Bulls,NBA,$737500
1987-88,Chicago Bulls,NBA,$845000
1988-89,Chicago Bulls,NBA,$2000000
1989-90,Chicago Bulls,NBA,$2500000
1990-91,Chicago Bulls,NBA,$2500000
1991-92,Chicago Bulls,NBA,$3250000
1992-93,Chicago Bulls,NBA,$4000000
1993-94,Chicago Bulls,NBA,$4000000
1994-95,Chicago Bulls,NBA,$3850000
1995-96,Chicago Bulls,NBA,$3850000
1996-97,Chicago Bulls,NBA,$30140000
1997-98,Chicago Bulls,NBA,$33140000
2001-02,Washington Wizards,NBA,$1000000
2002-03,Washington Wizards,NBA,$1030000